danceability,key,mode,time_signature,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,popularity,genre
0.499,0,1,4,0.462,-5.308,0.0312,0.801,0,0.0946,0.599,127.698,157710,0.1,0.1,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.16666666666666666,0.16666666666666666,81,Pop
0.789,10,0,4,0.742,-5.664,0.0652,0.0681,0,0.166,0.661,116.965,167989,0.05555555555555555,0.09259259259259259,0.07407407407407407,0.05555555555555555,0.12962962962962962,0.05555555555555555,0.07407407407407407,0.12962962962962962,0.09259259259259259,0.24074074074074073,86,Pop
0.719,8,1,4,0.607,-5.156,0.165,0.08,0,0.125,0.464,128.006,149900,0.06896551724137931,0.10344827586206896,0.06896551724137931,0,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.1724137931034483,0.2413793103448276,83,Pop
0.411,0,1,1,0.522,-7.295,0.0981,0.519,0,0.398,0.382,88.332,239949,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.13157894736842105,0.05263157894736842,0.07894736842105263,0.21052631578947367,0.15789473684210525,83,Pop
0.739,0,1,4,0.516,-7.154,0.053900000000000003,0.67,0,0.151,0.434,120.109,183874,0.13157894736842105,0.05263157894736842,0.13157894736842105,0.10526315789473684,0.10526315789473684,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.21052631578947367,0.10526315789473684,81,Pop
0.552,1,0,4,0.599,-5.75,0.0404,0.0703,0,0.0986,0.0916,161.884,208457,0.11428571428571428,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0,0.11428571428571428,0.22857142857142856,0.14285714285714285,82,Pop
0.686,0,1,4,0.526,-6.842,0.0374,0.0815,7.75e-6,0.144,0.372,92.013,158436,0,0.3333333333333333,0,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,81,Pop
0.772,6,0,4,0.506,-6.558,0.139,0.0814,1.1e-5,0.182,0.456,127.894,200732,0.05660377358490566,0.09433962264150944,0.07547169811320754,0.03773584905660377,0.1509433962264151,0.05660377358490566,0.05660377358490566,0.1509433962264151,0.11320754716981132,0.20754716981132076,82,Pop
0.688,11,0,4,0.455,-8.632,0.199,0.186,0,0.0794,0.557,87.865,132278,0,0,0,0,0,0,0,0,0,0,80,Pop
0.688,10,0,4,0.573,-5.03,0.208,0.0686,0,0.0749,0.553,110.034,179860,0.07692307692307693,0.06153846153846154,0.07692307692307693,0.06153846153846154,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.12307692307692308,0.13846153846153847,0.2153846153846154,80,Pop
0.737,0,1,4,0.802,-4.771,0.0878,0.468,0,0.0931,0.682,144.015,172324,0.08333333333333333,0.125,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.16666666666666666,97,Pop
0.624,0,1,4,0.672,-5.334,0.106,0.0967,0,0.155,0.26,159.852,146958,0.06976744186046512,0.11627906976744186,0.06976744186046512,0.023255813953488372,0.13953488372093023,0.023255813953488372,0.046511627906976744,0.16279069767441862,0.09302325581395349,0.2558139534883721,81,Pop
0.487,0,0,4,0.534,-5.664,0.0555,0.36,0,0.1,0.173,131.798,201882,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.18181818181818182,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.15151515151515152,0.21212121212121213,90,Pop
0.696,11,0,4,0.46,-8.609,0.186,0.193,0,0.0796,0.588,87.863,132278,0.0625,0.0625,0.0625,0.0625,0.1875,0.0625,0,0.1875,0.0625,0.25,64,Pop
0.729,8,1,3,0.475,-4.985,0.0364,0.378,0,0.12,0.371,62.52,212266,0.07692307692307693,0.15384615384615385,0.038461538461538464,0,0.19230769230769232,0,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.2692307692307692,74,Pop
0.647,7,0,4,0.309,-7.948,0.0366,0.78,7.41e-6,0.202,0.195,87.045,171573,0.1702127659574468,0.0851063829787234,0.10638297872340426,0.0851063829787234,0.0851063829787234,0.0425531914893617,0.06382978723404255,0.0851063829787234,0.1702127659574468,0.10638297872340426,74,Pop
0.747,6,1,4,0.458,-6.891,0.303,0.451,0,0.252,0.47,75.029,182000,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1388888888888889,0.2222222222222222,73,Pop
0.758,2,0,4,0.665,-5.188,0.0774,0.0815,1.57e-4,0.216,0.643,151.976,216893,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.08823529411764706,0.11764705882352941,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.11764705882352941,72,Pop
0.45,9,1,4,0.619,-7.412,0.372,0.329,0,0.319,0.427,83.3,208880,0.12307692307692308,0.07692307692307693,0.07692307692307693,0.09230769230769231,0.1076923076923077,0.1076923076923077,0.07692307692307693,0.06153846153846154,0.15384615384615385,0.12307692307692308,71,Pop
0.671,7,1,3,0.714,-5.373,0.21,0.0844,1.48e-6,0.0568,0.477,105.137,140693,0.09375,0.0625,0.0625,0.09375,0.15625,0.0625,0.09375,0.03125,0.15625,0.1875,68,Pop
0.287,9,1,4,0.364,-8.295,0.0306,0.418,1.8e-5,0.185,0.11,103.777,271466,0.0625,0.09375,0.03125,0.0625,0.125,0.09375,0.09375,0.0625,0.15625,0.21875,71,Pop
0.662,0,1,4,0.6,-6.402,0.0703,0.173,1.37e-4,0.109,0.331,134.979,222946,0.047619047619047616,0.16666666666666666,0.07142857142857142,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.07142857142857142,0.16666666666666666,0.14285714285714285,72,Pop
0.778,1,0,4,0.317,-10.732,0.334,0.592,0,0.0881,0.327,140.048,178626,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.18571428571428572,0.18571428571428572,87,Pop
0.717,1,1,4,0.653,-5.634,0.0658,0.229,0,0.101,0.412,106.966,207320,0.08196721311475409,0.09836065573770492,0.04918032786885246,0.08196721311475409,0.11475409836065574,0.09836065573770492,0.04918032786885246,0.11475409836065574,0.14754098360655737,0.16393442622950818,85,Pop
0.726,5,0,4,0.554,-5.29,0.0917,0.0421,0,0.106,0.335,169.999,190440,0.23076923076923078,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.11538461538461539,80,Pop
0.336,1,1,5,0.231,-6.217,0.0497,0.942,0,0.188,0.429,168.685,37640,0,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0.25,67,Pop
0.795,6,1,4,0.759,-6.348,0.0528,0.0793,0,0.0805,0.855,110.021,196360,0,0.1875,0,0.0625,0.25,0,0.0625,0.125,0,0.3125,59,Pop
0.877,7,1,4,0.547,-5.705,0.18,0.0122,1.51e-5,0.028,0.687,99.034,228373,0.1111111111111111,0.1111111111111111,0.08888888888888889,0.08888888888888889,0.06666666666666667,0.1111111111111111,0.08888888888888889,0.044444444444444446,0.2,0.08888888888888889,63,Pop
0.831,10,0,4,0.485,-6.677,0.15,0.375,1.47e-5,0.118,0.622,80.022,245666,0.05357142857142857,0.08928571428571429,0.08928571428571429,0.10714285714285714,0.08928571428571429,0.07142857142857142,0.07142857142857142,0.125,0.14285714285714285,0.16071428571428573,69,Pop
0.602,1,1,4,0.658,-5.934,0.0558,0.0233,6e-5,0.237,0.268,145.031,197546,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0,0.02631578947368421,0.13157894736842105,0.13157894736842105,0.23684210526315788,81,Pop
0.721,4,1,4,0.459,-6.408,0.032,0.248,0,0.212,0.46,119.914,208493,0.0625,0.15625,0.0625,0.03125,0.125,0,0.09375,0.0625,0.1875,0.21875,69,Pop
0.847,0,0,4,0.603,-4.607,0.0397,0.107,7.4e-6,0.106,0.735,114.045,227386,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.22727272727272727,0,0.09090909090909091,0.11363636363636363,0.09090909090909091,0.25,69,Pop
0.71,10,0,4,0.614,-6.757,0.0431,0.186,0,0.0974,0.658,148.152,172106,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.10526315789473684,0.23684210526315788,0.13157894736842105,70,Pop
0.568,8,1,4,0.656,-5.413,0.0433,0.0211,1.37e-5,0.213,0.364,100.049,198160,0,0.25,0,0,0,0,0,0.25,0.25,0.25,76,Pop
0.699,9,0,4,0.713,-5.507,0.0594,0.04,3.11e-6,0.294,0.354,121.993,205920,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,81,Pop
0.761,6,0,4,0.818,-5.238,0.0978,0.058,0,0.11,0.348,110.99,177533,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.2,0.17142857142857143,60,Pop
0.597,11,1,4,0.524,-7.247,0.0537,0.216,0,0.112,0.0549,92.568,171333,0.12962962962962962,0.09259259259259259,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.12962962962962962,0.05555555555555555,0.05555555555555555,0.14814814814814814,0.1111111111111111,66,Pop
0.708,1,1,4,0.454,-7.07,0.0395,0.0217,0,0.073,0.24,110.963,189506,0.06666666666666667,0.1111111111111111,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.17777777777777778,0.24444444444444444,71,Pop
0.652,4,1,4,0.31,-10.212,0.0509,0.43,1.16e-5,0.182,0.304,119.913,73813,0,0.2857142857142857,0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0,0.07142857142857142,0.21428571428571427,0.14285714285714285,63,Pop
0.604,9,0,4,0.449,-6.564,0.0353,0.657,0,0.0932,0.528,100.355,322026,0.09375,0.09375,0.03125,0.0625,0.09375,0.0625,0.03125,0.1875,0.1875,0.15625,66,Pop
0.847,1,1,4,0.58,-5.316,0.0723,0.0276,0.0548,0.1,0.575,137.995,267106,0.08,0.04,0.08,0.08,0.08,0.12,0.04,0.08,0.28,0.12,48,Pop
0.626,9,1,3,0.412,-7.339,0.0292,0.417,3.55e-6,0.048,0.209,102.169,202360,0.03571428571428571,0.17857142857142858,0,0,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.21428571428571427,29,Pop
0.662,4,0,3,0.602,-5.369,0.0401,0.0529,0,0.356,0.29,133.969,235946,0.061224489795918366,0.08163265306122448,0.08163265306122448,0.10204081632653061,0.12244897959183673,0.08163265306122448,0.02040816326530612,0.12244897959183673,0.12244897959183673,0.20408163265306123,33,Pop
0.813,1,0,4,0.456,-7.667,0.0685,0.169,2.85e-6,0.105,0.587,108.801,179293,0.13333333333333333,0.13333333333333333,0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0,0,0.2,0.26666666666666666,32,Pop
0.623,9,1,4,0.734,-5.95,0.107,0.0162,1.9e-6,0.145,0.372,107.853,244453,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.1111111111111111,0,0.037037037037037035,0.25925925925925924,0.07407407407407407,41,Pop
0.65,6,0,4,0.736,-5.84,0.229,0.0513,0,0.235,0.612,159.174,226160,0.1346153846153846,0.07692307692307693,0.07692307692307693,0.1346153846153846,0.057692307692307696,0.11538461538461539,0.07692307692307693,0.019230769230769232,0.19230769230769232,0.11538461538461539,40,Pop
0.528,2,1,3,0.435,-8.363,0.129,0.0295,0,0.243,0.0781,102.704,223853,0.078125,0.0625,0.078125,0.09375,0.09375,0.0625,0.046875,0.125,0.15625,0.203125,27,Pop
0.62,1,1,4,0.705,-5.335,0.0989,0.0323,0,0.092,0.844,109.974,214906,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0.18181818181818182,0,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.22727272727272727,32,Pop
0.445,8,0,3,0.449,-7.472,0.0315,0.596,2.34e-5,0.339,0.374,90.927,229680,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.05405405405405406,0.08108108108108109,0.1891891891891892,0.13513513513513514,20,Pop
0.637,7,0,4,0.733,-4.387,0.0553,0.0152,0,0.162,0.432,131.005,194840,0.09090909090909091,0.09090909090909091,0.06818181818181818,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.06818181818181818,0.20454545454545456,0.1590909090909091,31,Pop
0.394,4,1,4,0.666,-5.383,0.25,0.0901,0,0.344,0.561,77.827,226666,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.15151515151515152,0.12121212121212122,0.06060606060606061,0,0.06060606060606061,0.18181818181818182,0.15151515151515152,26,Pop
0.59,0,1,4,0.403,-8.286,0.0431,0.729,1.38e-6,0.153,0.287,111.948,178026,0.16666666666666666,0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,20,Pop
0.698,4,0,4,0.646,-5.368,0.0415,0.0146,0,0.269,0.787,131.945,226426,0.13043478260869565,0.021739130434782608,0.10869565217391304,0.13043478260869565,0.08695652173913043,0.10869565217391304,0.021739130434782608,0.06521739130434782,0.1956521739130435,0.13043478260869565,26,Pop
0.536,7,0,4,0.694,-4.369,0.0331,0.0305,0,0.183,0.293,100.899,260000,0.05,0.15,0,0.1,0.1,0.1,0.05,0,0.25,0.2,26,Pop
0.484,6,1,4,0.38,-6.706,0.071,0.235,3.8e-6,0.0998,0.372,106.652,299213,0.05263157894736842,0.13157894736842105,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.07894736842105263,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.18421052631578946,23,Pop
0.507,11,1,4,0.697,-6.021,0.0616,0.0149,8.87e-4,0.122,0.401,102.983,200386,0.10344827586206896,0.13793103448275862,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.1724137931034483,24,Pop
0.672,6,1,4,0.876,-6.036,0.244,0.266,0,0.444,0.79,100.018,211360,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.045454545454545456,0,0.09090909090909091,0.13636363636363635,0.22727272727272727,36,Pop
0.832,5,0,4,0.577,-6.452,0.0613,0.00698,0.648,0.261,0.0392,128.021,319133,0.1,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.04285714285714286,0.05714285714285714,0.15714285714285714,0.18571428571428572,12,Pop
0.691,7,1,4,0.897,-3.239,0.0364,0.0181,3.4e-5,0.202,0.66,132.038,244173,0.028985507246376812,0.11594202898550725,0.057971014492753624,0.057971014492753624,0.10144927536231885,0.07246376811594203,0.07246376811594203,0.13043478260869565,0.13043478260869565,0.2318840579710145,14,Pop
0.684,1,1,4,0.823,-4.674,0.0384,0.00209,8.55e-4,0.362,0.585,124.954,239440,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.06818181818181818,0.045454545454545456,0.11363636363636363,0.13636363636363635,0.18181818181818182,12,Pop
0.517,6,1,4,0.924,-3.448,0.135,0.0465,0.0384,0.318,0.741,119.828,188400,0.05454545454545454,0.12727272727272726,0.07272727272727272,0.09090909090909091,0.09090909090909091,0.10909090909090909,0.07272727272727272,0.09090909090909091,0.14545454545454545,0.14545454545454545,13,Pop
0.702,7,0,4,0.72,-5.655,0.0401,0.00144,0.00189,0.0955,0.21,129.985,295413,0.11627906976744186,0.06976744186046512,0.09302325581395349,0.18604651162790697,0.046511627906976744,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.23255813953488372,0.046511627906976744,22,Pop
0.86,1,0,4,0.931,-2.047,0.104,0.003,0.00103,0.0463,0.815,100.01,217226,0.04,0.04,0.04,0.08,0.12,0.12,0.08,0.04,0.24,0.2,9,Pop
0.642,5,0,4,0.917,-4.428,0.0393,0.0522,3.6e-5,0.437,0.531,125.017,246933,0.07894736842105263,0.05263157894736842,0.13157894736842105,0.10526315789473684,0.07894736842105263,0.10526315789473684,0,0.10526315789473684,0.13157894736842105,0.21052631578947367,12,Pop
0.407,6,1,4,0.183,-12.439,0.0333,0.969,3.83e-5,0.331,0.0955,89.83,79786,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0.2857142857142857,23,Pop
0.435,11,1,4,0.666,-5.946,0.0461,0.0487,0,0.153,0.34,159.868,211880,0.11538461538461539,0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0,0.038461538461538464,0.19230769230769232,0.19230769230769232,37,Pop
0.654,6,1,4,0.575,-6.895,0.441,0.541,0,0.112,0.225,143.948,233733,0.08139534883720931,0.10465116279069768,0.10465116279069768,0.05813953488372093,0.09302325581395349,0.11627906976744186,0.05813953488372093,0.08139534883720931,0.19767441860465115,0.10465116279069768,37,Pop
0.622,3,0,4,0.583,-6.248,0.0356,0.072,7.66e-6,0.0823,0.42,145.071,217053,0.07692307692307693,0.057692307692307696,0.09615384615384616,0.07692307692307693,0.1346153846153846,0.07692307692307693,0.057692307692307696,0.15384615384615385,0.09615384615384616,0.17307692307692307,31,Pop
0.444,9,1,4,0.319,-5.996,0.0279,0.716,0,0.1,0.152,77.986,232666,0.15384615384615385,0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0,0,0.23076923076923078,0.15384615384615385,38,Pop
0.662,7,1,4,0.764,-5.694,0.038,0.222,1.35e-6,0.324,0.358,97.974,192226,0.0425531914893617,0.10638297872340426,0.0425531914893617,0.10638297872340426,0.1702127659574468,0,0.0851063829787234,0.10638297872340426,0.10638297872340426,0.23404255319148937,27,Pop
0.464,11,1,4,0.264,-5.312,0.0298,0.877,0,0.131,0.411,107.911,168480,0.125,0.075,0.025,0.125,0.1,0.1,0.075,0.05,0.175,0.15,30,Pop
0.648,0,1,4,0.841,-5.714,0.253,0.502,0,0.0796,0.382,101.364,193986,0.058823529411764705,0.17647058823529413,0,0.058823529411764705,0.17647058823529413,0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882,27,Pop
0.381,0,1,4,0.631,-5.886,0.263,0.0458,0,0.13,0.369,170.193,233706,0.05263157894736842,0.2631578947368421,0,0.05263157894736842,0.10526315789473684,0,0,0.15789473684210525,0,0.3684210526315789,25,Pop
0.377,6,0,4,0.413,-6.775,0.0361,0.646,0,0.25,0.336,160.778,170440,0.043478260869565216,0.17391304347826086,0,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.08695652173913043,0,0.2608695652173913,0.13043478260869565,23,Pop
0.74,10,0,4,0.723,-4.202,0.0457,0.038,0,0.103,0.577,100.049,216360,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.2222222222222222,24,Pop
0.726,6,1,4,0.605,-5.673,0.0628,0.0113,0,0.0639,0.588,93.93,253386,0.07272727272727272,0.07272727272727272,0.09090909090909091,0.05454545454545454,0.10909090909090909,0.09090909090909091,0.07272727272727272,0.14545454545454545,0.14545454545454545,0.14545454545454545,17,Pop
0.692,8,0,4,0.608,-5.233,0.041,0.218,0,0.348,0.449,125.012,339733,0.058823529411764705,0.11764705882352941,0.0196078431372549,0.11764705882352941,0.0784313725490196,0.11764705882352941,0.0784313725490196,0.058823529411764705,0.19607843137254902,0.1568627450980392,37,Pop
